City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,klaksvik,62.2266,-6.589,6.51,67,100,13.39,FO,1675727253
228,klyuchi,52.2667,79.1667,-19.23,100,88,1.85,RU,1675727220
229,kodiak,57.79,-152.4072,2.73,60,0,4.12,US,1675727050
230,kolyvan,55.3053,82.7391,-10.21,97,100,1.96,RU,1675727315
231,koregaon,18.65,74.0833,18.41,37,1,1.24,IN,1675727311
232,kousseri,12.0769,15.0306,24.98,14,100,4.63,CM,1675727317
233,koutsouras,35.0339,25.9469,6.73,82,44,11.6,GR,1675727245
234,kragujevac,44.0167,20.9167,-4.84,69,8,2.04,RS,1675727208
235,krasnoarmeysk,51.0239,45.6969,-17.16,98,65,3.47,RU,1675727111
236,kruisfontein,-34.0033,24.7314,22.16,92,82,2.56,ZA,1675727094
237,kudahuvadhoo,2.6708,72.8944,27.09,70,92,3.65,MV,1675727199
238,kununurra,-15.7667,128.7333,27.99,69,76,1.03,AU,1675727268
239,kushiro,42.975,144.3747,-6.47,79,40,2.57,JP,1675727144
240,labuhan,-6.8844,112.2051,25.22,85,100,3.22,ID,1675727287
241,labytnangi,66.6572,66.4183,-25.93,96,60,1.38,RU,1675727273
242,lagoa,39.05,-27.9833,12.77,70,100,11.22,PT,1675726620
243,lagos,6.5833,3.75,26.12,87,82,2.41,NG,1675727112
244,laguna,38.421,-121.4238,16.99,41,0,6.69,US,1675727132
245,lakes entrance,61.6071,-149.3086,0.46,90,100,4.12,US,1675727235
246,lamar,33.6668,-95.5836,20.95,66,40,8.75,US,1675727099
247,lasa,46.6166,10.7002,-0.51,98,95,2.12,IT,1675727170
248,lata,40.1629,-8.3327,5.92,67,0,3.06,PT,1675727075
249,laurel,39.0993,-76.8483,8.14,60,100,5.66,US,1675726961
250,lavrentiya,65.5833,-171.0,-24.94,88,100,2.04,RU,1675727088
251,lebu,-37.6167,-73.65,14.74,82,0,8.35,CL,1675726810
252,leningradskiy,69.3833,178.4167,-31.55,97,99,3.57,RU,1675727132
253,lithakia,37.7167,20.8333,2.65,53,100,3.72,GR,1675727272
254,liverpool,53.4106,-2.9779,2.97,88,0,2.57,GB,1675727244
255,locri,38.2414,16.2623,4.62,60,81,2.28,IT,1675727290
256,lokosovo,61.1333,74.8167,-14.79,97,100,1.35,RU,1675727269
257,lompoc,34.6391,-120.4579,18.72,54,20,9.26,US,1675727228
258,longuenesse,50.734,2.2352,2.45,92,8,1.73,FR,1675727297
259,longyearbyen,78.2186,15.6401,-3.97,92,100,17.74,SJ,1675726966
260,lorengau,-2.0226,147.2712,24.92,93,100,4.07,PG,1675727118
261,lorica,9.2365,-75.8135,28.99,81,61,4.4,CO,1675727114
262,luanda,-8.8368,13.2343,26.0,83,40,2.57,AO,1675727295
263,luderitz,-26.6481,15.1594,17.68,93,10,6.27,NA,1675726929
264,mabaruma,8.2,-59.7833,21.93,97,55,1.57,GY,1675727166
265,macapa,0.0389,-51.0664,25.99,94,75,2.57,BR,1675727177
266,mahebourg,-20.4081,57.7,25.7,94,75,3.09,MU,1675727078
267,mahibadhoo,3.7833,72.9667,26.98,76,100,4.14,MV,1675727275
268,makakilo city,21.3524,-158.0865,27.64,61,20,7.72,US,1675727242
269,malakal,9.5334,31.6605,27.37,15,13,4.55,SS,1675727266
270,malanje,-9.5402,16.341,16.43,98,79,1.77,AO,1675727214
271,malumfashi,11.7853,7.6218,21.78,18,100,4.8,NG,1675727068
272,mamit,23.9333,92.4833,8.85,62,0,1.49,IN,1675727138
273,manama,26.2154,50.5832,19.99,78,0,6.17,BH,1675727063
274,mangochi,-14.4782,35.2645,19.75,96,100,1.29,MW,1675727155
275,manokwari,-0.8667,134.0833,26.22,83,100,1.69,ID,1675727136
276,manta,-0.95,-80.7333,25.91,79,88,4.13,EC,1675727164
277,mantenopolis,-18.8625,-41.1228,23.22,75,34,2.32,BR,1675727257
278,mao,39.8885,4.2658,10.31,93,75,3.09,ES,1675727086
279,mar del plata,43.4002,-4.0094,6.19,89,0,1.34,ES,1675727083
280,maragogi,-9.0122,-35.2225,25.4,75,100,3.87,BR,1675727088
281,marawi,7.9986,124.2928,21.73,83,100,0.6,PH,1675727255
282,margate,51.3813,1.3862,6.06,84,3,0.89,GB,1675727095
283,maryville,35.7565,-83.9705,14.11,54,40,2.06,US,1675727075
284,matagami,49.7502,-77.6328,-12.94,72,0,4.12,CA,1675727284
285,mataura,-46.1927,168.8643,14.3,90,75,3.24,NZ,1675727089
286,mayang imphal,-8.1762,113.7958,24.0,94,100,0.11,ID,1675727274
287,mayumba,-3.432,10.6554,24.92,86,87,0.77,GA,1675727065
288,mazamari,-11.3258,-74.5308,20.96,98,97,0.85,PE,1675727203
289,mecca,21.4267,39.8261,20.41,74,80,2.97,SA,1675727186
290,medea,36.2642,2.7539,3.79,91,35,1.33,DZ,1675727233
291,mehamn,71.0357,27.8492,4.97,75,20,10.29,NO,1675727142
292,menongue,-14.6585,17.691,17.85,80,97,1.56,AO,1675727288
293,merauke,-8.4667,140.3333,26.74,84,99,6.32,ID,1675727203
294,meulaboh,4.1363,96.1285,23.58,81,98,0.71,ID,1675727173
295,mezen,65.8522,44.24,-16.49,98,91,3.33,RU,1675727121
296,micheweni,-4.9667,39.8333,26.41,78,100,4.54,TZ,1675727307
297,milos,36.75,24.4333,7.63,66,98,15.38,GR,1675727217
298,mirnyy,62.5353,113.9611,-32.55,98,99,0.84,RU,1675727083
299,mlowo,-9.0,32.9833,14.63,98,100,1.8,TZ,1675727206
300,mombetsu,44.3525,143.3525,-6.08,85,99,1.52,JP,1675727160
301,monrovia,6.3005,-10.7969,23.87,89,41,3.21,LR,1675727137
302,montalvo,-1.8,-79.3333,25.32,90,58,0.9,EC,1675727291
303,montrose,38.4166,-108.2673,-4.72,72,60,4.35,US,1675726831
304,moose factory,43.6558,-110.7183,-1.04,59,0,2.06,US,1675726859
305,moranbah,-22.0016,148.0466,27.53,75,88,7.68,AU,1675727266
306,mortka,59.3322,66.0214,-21.09,99,95,2.22,RU,1675727316
307,mount gambier,53.6597,-1.8537,1.94,79,91,1.58,GB,1675727098
308,mount isa,53.6597,-1.8537,1.94,79,91,1.58,GB,1675727256
309,mpika,-11.8343,31.4529,16.22,96,100,1.9,ZM,1675727241
310,mudgee,-32.5943,149.5871,24.79,43,8,3.86,AU,1675727097
311,muhos,64.808,25.9931,-0.12,94,100,3.82,FI,1675727312
312,mumford,5.2618,-0.759,26.09,89,61,5.16,GH,1675727157
313,mwingi,-0.9344,38.0601,17.71,58,47,1.02,KE,1675727085
314,mys shmidta,62.0589,48.6201,-22.92,100,100,1.37,RU,1675727180
315,nacala,-14.5428,40.6728,24.32,90,100,2.05,MZ,1675727207
316,namatanai,-3.6667,152.4333,28.72,70,95,2.38,PG,1675727058
317,namibe,-15.1961,12.1522,21.29,79,71,2.18,AO,1675727224
318,nanortalik,60.1432,-45.2371,-15.28,84,78,4.86,GL,1675727078
319,nantucket,41.2835,-70.0995,7.03,75,100,11.32,US,1675726969
320,narsaq,60.9167,-46.05,-16.88,64,29,3.87,GL,1675727190
321,naruja,41.9069,41.9542,7.18,88,100,1.01,GE,1675727200
322,naryan-mar,67.6713,53.087,-18.49,97,99,4.69,RU,1675727076
323,naze,28.3667,129.4833,18.51,80,41,6.49,JP,1675727189
324,necochea,-38.5473,-58.7368,17.1,64,18,7.53,AR,1675727250
325,nelson bay,-41.2833,173.2833,23.0,46,23,3.65,NZ,1675727061
326,new norfolk,6.6518,-10.5932,23.85,96,57,0.98,LR,1675727073
327,niagara falls,43.1667,-78.7664,-0.08,82,100,2.06,US,1675727313
328,nicoya,10.1483,-85.452,26.09,65,15,6.87,CR,1675727249
329,nikolskoye,59.7035,30.7861,-3.06,98,91,1.46,RU,1675727062
330,nileshwar,12.25,75.1,23.17,81,100,1.8,IN,1675727200
331,nioki,-2.7167,17.6833,22.34,89,79,1.31,CD,1675727142
332,nizhniy kuranakh,45.3926,39.2364,-3.9,85,100,8.79,RU,1675727302
333,nome,64.5011,-165.4064,-13.96,66,0,1.54,US,1675727056
334,norden,53.6,7.2,1.08,97,4,4.38,DE,1675727248
335,norman wells,35.2226,-97.4395,21.24,60,87,4.92,US,1675727060
336,north bend,50.3333,3.6667,4.12,95,7,3.15,FR,1675727267
337,nouadhibou,20.931,-17.0347,15.99,67,0,8.75,MR,1675727210
338,nouakchott,18.0858,-15.9785,16.96,58,19,7.3,MR,1675727048
339,novyy urengoy,45.0072,38.9819,-3.83,86,75,10.0,RU,1675727117
340,nyurba,63.2842,118.3319,-42.28,100,93,0.58,RU,1675727251
341,ocampo,21.65,-101.5,19.92,13,1,3.82,MX,1675727296
342,oistins,13.0667,-59.5333,26.05,69,20,7.72,BB,1675727167
343,okhotsk,59.3833,143.3,-23.39,77,100,5.67,RU,1675727240
344,orlik,52.5178,99.825,-29.21,98,71,0.94,RU,1675727208
345,ostashkov,57.1467,33.1075,-7.12,97,98,1.83,RU,1675727209
346,ostrovnoy,68.0531,39.5131,-5.47,86,100,12.94,RU,1675727046
347,padang,-0.9492,100.3543,22.03,80,85,1.76,ID,1675727046
348,pagudpud,18.5616,120.7868,25.83,76,86,1.39,PH,1675727285
349,palmer,42.1584,-72.3287,4.23,62,75,4.63,US,1675727041
350,pandan,14.0453,124.1694,25.73,86,77,4.85,PH,1675727231
351,pandhurna,21.6,78.5167,17.69,30,0,1.86,IN,1675727145
352,pangnirtung,66.1451,-65.7125,-29.0,69,20,9.77,CA,1675727131
353,pangody,65.85,74.4859,-27.32,100,100,2.96,RU,1675727132
354,panshi,42.9422,126.0561,-15.84,91,48,0.93,CN,1675727268
355,pantai remis,-3.1679,116.0574,25.39,84,100,0.91,ID,1675727279
356,paramonga,-10.6667,-77.8333,23.13,82,61,3.34,PE,1675727165
357,pec,42.6591,20.2883,-6.83,76,84,1.38,XK,1675727080
358,perth,-31.9333,115.8333,22.04,88,20,3.6,AU,1675726928
359,petropavlovsk-kamchatskiy,53.0452,158.6483,-14.67,66,40,3.0,RU,1675727133
360,pevek,69.7008,170.3133,-35.51,100,100,1.46,RU,1675727083
361,phangnga,8.4509,98.5298,24.02,93,85,1.59,TH,1675726977
362,phonhong,18.5007,102.4166,20.8,78,50,0.57,LA,1675727139
363,pinheiro machado,-2.5214,-45.0825,23.36,98,97,1.22,BR,1675727114
364,piopio,-38.4667,175.0167,21.16,59,69,3.13,NZ,1675727161
365,pochutla,15.7432,-96.4661,29.9,63,10,1.88,MX,1675727120
366,ponta do sol,38.7333,-28.2667,10.92,72,100,11.02,PT,1675727085
